QuoteId,MinPrice,Direct,OutboundLegCarrierIds,OutboundLegOriginId,OutboundLegDestinationId,OutboundLegDepartureDate,InboundLegCarrierIds,InboundLegOriginId,InboundLegDestinationId,InboundLegDepartureDate,QuoteDateTime,OutboundPlaceIataCode,OutboundPlaceName,OutboundPlaceType,InboundPlaceIataCode,InboundPlaceName,InboundPlaceType,OutboundCarrierName,InboundCarrierName
38,28983,True,1914,43268,66270,2017-05-02T00:00:00,1914,66270,43268,2017-05-13T00:00:00,2017-04-13T06:47:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
39,52882,True,881,43268,65698,2017-05-02T00:00:00,881,65698,43268,2017-05-14T00:00:00,2017-04-05T05:48:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
40,31927,True,1914,43268,66270,2017-05-02T00:00:00,1914,66270,43268,2017-05-16T00:00:00,2017-04-09T15:08:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
41,30666,True,1914,43268,66270,2017-05-02T00:00:00,1914,66270,43268,2017-05-17T00:00:00,2017-04-09T10:37:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
42,76751,False,1523,43268,82398,2017-05-02T00:00:00,1368,82398,43268,2017-05-24T00:00:00,2017-04-05T18:22:00,BUD,Budapest,Station,STN,London Stansted,Station,Austrian Airlines,Lufthansa
43,59328,True,881,43268,65698,2017-05-02T00:00:00,881,65698,43268,2017-05-31T00:00:00,2017-04-09T15:35:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
44,51480,False,1324,43268,65698,2017-05-02T00:00:00,838,65698,43268,2017-05-31T00:00:00,2017-04-09T15:35:00,BUD,Budapest,Station,LHR,London Heathrow,Station,KLM,Air France
50,25495,True,1914,43268,66270,2017-05-03T00:00:00,1914,66270,43268,2017-05-03T00:00:00,2017-04-14T10:29:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
51,30209,True,1914,43268,66270,2017-05-03T00:00:00,1914,66270,43268,2017-05-04T00:00:00,2017-04-16T20:43:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
52,35027,True,1914,43268,66270,2017-05-03T00:00:00,1914,66270,43268,2017-05-05T00:00:00,2017-04-07T19:38:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
53,33247,True,1914,43268,66270,2017-05-03T00:00:00,1914,66270,43268,2017-05-06T00:00:00,2017-04-15T01:31:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
54,23233,True,1914,43268,66270,2017-05-03T00:00:00,1914,66270,43268,2017-05-07T00:00:00,2017-04-15T07:12:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
