QuoteId,MinPrice,Currency,Direct,OutboundLegCarrierIds,OutboundLegOriginId,OutboundLegDestinationId,OutboundLegDepartureDate,InboundLegCarrierIds,InboundLegOriginId,InboundLegDestinationId,InboundLegDepartureDate,QuoteDateTime,OutboundPlaceIataCode,OutboundPlaceName,OutboundPlaceType,InboundPlaceIataCode,InboundPlaceName,InboundPlaceType,OutboundCarrierName,InboundCarrierName
35,55485,HUF,False,1324,43268,65698,2017-05-02T00:00:00,838,65698,43268,2017-05-10T00:00:00,2017-04-12T20:49:00,BUD,Budapest,Station,LHR,London Heathrow,Station,KLM,Air France
36,63893,HUF,True,881,43268,65698,2017-05-02T00:00:00,881,65698,43268,2017-05-11T00:00:00,2017-04-10T12:37:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
37,55713,HUF,False,1324,43268,65698,2017-05-02T00:00:00,838,65698,43268,2017-05-11T00:00:00,2017-04-10T12:37:00,BUD,Budapest,Station,LHR,London Heathrow,Station,KLM,Air France
38,28983,HUF,True,1914,43268,66270,2017-05-02T00:00:00,1914,66270,43268,2017-05-13T00:00:00,2017-04-13T06:47:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
39,54348,HUF,True,881,43268,65698,2017-05-02T00:00:00,881,65698,43268,2017-05-14T00:00:00,2017-04-05T05:48:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
40,31927,HUF,True,1914,43268,66270,2017-05-02T00:00:00,1914,66270,43268,2017-05-16T00:00:00,2017-04-09T15:08:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
41,30666,HUF,True,1914,43268,66270,2017-05-02T00:00:00,1914,66270,43268,2017-05-17T00:00:00,2017-04-09T10:37:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
42,76751,HUF,False,1523,43268,82398,2017-05-02T00:00:00,1368,82398,43268,2017-05-24T00:00:00,2017-04-05T18:22:00,BUD,Budapest,Station,STN,London Stansted,Station,Austrian Airlines,Lufthansa
43,53879,HUF,False,1324,43268,65698,2017-05-02T00:00:00,1324,65698,43268,2017-05-31T00:00:00,2017-04-09T15:35:00,BUD,Budapest,Station,LHR,London Heathrow,Station,KLM,KLM
48,25495,HUF,True,1914,43268,66270,2017-05-03T00:00:00,1914,66270,43268,2017-05-03T00:00:00,2017-04-14T10:29:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
49,30209,HUF,True,1914,43268,66270,2017-05-03T00:00:00,1914,66270,43268,2017-05-04T00:00:00,2017-04-16T20:43:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
